"TraceType";"Single"
"TriggerType";""
"SamplePeriod";"0:0:1:0:0"
"SampleRate";"1"
"ExternalFileStorage";"False"
"MaxSamplesPerFile";"4500"
"MaxDataSetSize";"100"
"TargetDirectory";"C:\OMRON\Data\DataTrace\"
"FilePrefix";""

"SampleTimingType";"interval"
"TaskName";"BaseControl"
"SamplingInterval";"50"
"Triggers";"False:::"
"PostTriggerDataRatio";"100"
"StartOnRun";"False"
"EnableRealTimeDisplay";"False"
"BehaviorWhenMax";"Stop"

"TriggerRecordTime";"1771294274601508146"
"StartRawTime";"1771294274697511828"
"Index";"Date";"ClockTime";"RawTime";"TraceSampID";"Voltage_L1_N:REAL";"Voltage_L2_N:REAL";"Voltage_L3_N:REAL";"Current_L1:REAL";"Current_L2:REAL";"Current_L3:REAL";"Total_Active_Power:REAL";"Total_Consumed_Energy:REAL";"InvOutCurrent_Real:REAL";"Machine.IMotor:REAL";"KesmeZamani_s:INT";"KesilenAlan_m2:REAL";"AutoPar.SawDiameter:REAL";"AutoPar.SawThickness:REAL";"AutoPar.SawTooth:DINT";"Malzeme.D_H1:REAL";"Malzeme.W1:REAL";"Z_Kafa_HMI:LREAL";"Kafa.Act.Pos:LREAL";"Kafa.Act.Trq:LREAL";"Kafa.Act.Vel:LREAL";"CurrentF:REAL";"CurrentS:REAL";"AutoPar.FeedRate1:REAL";"AutoPar.FeedRate2:REAL";"AutoPar.PeripSpeed:REAL";"KafaCurrent_1_abs:LREAL";"Z_Accelerometer:REAL";"X_Accelerometer:REAL";"Y_Accelerometer:REAL";"KesmeZamani_min:INT"
"33";"2026-02-17";"02:11:14.69";"1771294274697511828";"";"228.199997";"227.899994";"228.5";"2.81999993";"3.61999989";"2.92000008";"1400";"23818";"0";"0";"12";"2.61168194";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999897820601";"0.80000000000000004";"-0.00034059794984386799";"2.72331905";"110";"0.0700000003";"2.72331905";"110";"0.032800000000000003";"47.4539719";"48.4857101";"44.60952";"2"
"34";"2026-02-17";"02:11:14.79";"1771294274797509441";"";"228.199997";"227.899994";"228.5";"2.81999993";"3.61999989";"2.92000008";"1400";"23818";"0";"0";"12";"2.61168194";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"0.00017029898913278901";"2.72331905";"110";"0.0700000003";"2.72331905";"110";"0.032800000000000003";"47.4571419";"48.4444504";"44.6444397";"2"
"35";"2026-02-17";"02:11:14.89";"1771294274897510116";"";"228.199997";"227.899994";"228.5";"2.81999993";"3.61999989";"2.92000008";"1400";"23818";"0";"0";"12";"2.61168194";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"0.00017029898913278901";"2.72331905";"110";"0.0700000003";"2.72331905";"110";"0.032800000000000003";"47.469841";"48.5841293";"44.7492104";"2"
"36";"2026-02-17";"02:11:14.99";"1771294274997511532";"";"228.199997";"227.899994";"228.5";"2.81999993";"3.61999989";"2.92000008";"1400";"23818";"0";"0";"12";"2.61168194";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.000000510897";"0.80000000000000004";"0.00017029896071107901";"2.72331905";"110";"0.0700000003";"2.72331905";"110";"0.032800000000000003";"47.4190483";"48.5523796";"44.6127014";"2"
"37";"2026-02-17";"02:11:15.09";"1771294275097512081";"";"228.199997";"227.899994";"228.5";"2.81999993";"3.61999989";"2.92000008";"1400";"23818";"0";"0";"12";"2.61168194";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999914850503";"0.80000000000000004";"-0.00059604644775390603";"2.72331905";"110";"0.0700000003";"2.72331905";"110";"0.032800000000000003";"47.473011";"48.4920692";"44.7079391";"2"
"38";"2026-02-17";"02:11:15.19";"1771294275197517012";"";"228.199997";"227.899994";"228.5";"2.81999993";"3.61999989";"2.92000008";"1400";"23818";"0";"0";"12";"2.61168194";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.000000510897";"0.80000000000000004";"0";"2.72331905";"110";"0.0700000003";"2.72331905";"110";"0.032800000000000003";"47.4793701";"48.4888916";"44.6380997";"2"
"39";"2026-02-17";"02:11:15.29";"1771294275297514125";"";"228.199997";"227.899994";"228.5";"2.81999993";"3.61999989";"2.92000008";"1400";"23818";"0";"0";"12";"2.61168194";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"8.5149508777249098E-05";"2.72331905";"110";"0.0700000003";"2.72331905";"110";"0.032800000000000003";"47.3174591";"48.4222183";"44.7492104";"2"
"40";"2026-02-17";"02:11:15.39";"1771294275397515258";"";"228.199997";"227.899994";"228.5";"2.81999993";"3.61999989";"2.92000008";"1400";"23818";"0";"0";"12";"2.61168194";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"-0.00017029898913278901";"2.72331905";"110";"0.0700000003";"2.72331905";"110";"0.032800000000000003";"47.4920692";"48.4444504";"44.60952";"2"
"41";"2026-02-17";"02:11:15.49";"1771294275497516130";"";"228.199997";"227.899994";"228.5";"2.81999993";"3.61999989";"2.92000008";"1400";"23818";"0";"0";"12";"2.61168194";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000017029902";"0.80000000000000004";"0";"2.72331905";"110";"0.0700000003";"2.72331905";"110";"0.032800000000000003";"47.5492096";"48.4349213";"44.5936508";"2"
"42";"2026-02-17";"02:11:15.59";"1771294275597513467";"";"228.199997";"227.899994";"228.5";"2.81999993";"3.61999989";"2.92000008";"1400";"23818";"0";"0";"12";"2.61168194";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"0";"2.72331905";"110";"0.0700000003";"2.72331905";"110";"0.032800000000000003";"47.3206406";"48.5492096";"44.5523796";"2"
