Index,Date,ClockTime,RawTime,TraceSampID,Voltage_L1_N:REAL,Voltage_L2_N:REAL,Voltage_L3_N:REAL,Current_L1:REAL,Current_L2:REAL,Current_L3:REAL,Total_Active_Power:REAL,Total_Consumed_Energy:REAL,InvOutCurrent_Real:REAL,Machine.IMotor:REAL,KesmeZamani_s:INT,KesilenAlan_m2:REAL,AutoPar.SawDiameter:REAL,AutoPar.SawThickness:REAL,AutoPar.SawTooth:DINT,Malzeme.D_H1:REAL,Malzeme.W1:REAL,Z_Kafa_HMI:LREAL,Kafa.Act.Pos:LREAL,Kafa.Act.Trq:LREAL,Kafa.Act.Vel:LREAL,CurrentF:REAL,CurrentS:REAL,AutoPar.FeedRate1:REAL,AutoPar.FeedRate2:REAL,AutoPar.PeripSpeed:REAL,KafaCurrent_1_abs:LREAL,Z_Accelerometer:REAL,X_Accelerometer:REAL,Y_Accelerometer:REAL,KesmeZamani_min:INT
29,2026-02-17,01:13:58,1771290837605935522,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19397,0,0,6,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000003","0,8","-0,0003405979783","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,7396889","48,6825409","44,771431",2
30,2026-02-17,01:13:58,1771290837705936634,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19397,0,0,6,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999998","0,8","-0,00008514948036","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,69841","48,6698418","44,7269897",2
31,2026-02-17,01:13:58,1771290837805937753,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19398,0,0,6,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000003","0,8","0,00008514948036","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,5460281","48,6349182","44,6317482",2
32,2026-02-17,01:13:58,1771290837905938543,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19398,0,0,6,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999997","0,8","-0,0001702989891","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","48,0539703","48,530159","43,5111084",2
33,2026-02-17,01:13:58,1771290838005939805,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19398,0,0,6,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000002","0,8","0,00008514950878","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,8095207","48,1841316","44,5714302",2
34,2026-02-17,01:13:58,1771290838105941177,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000002","0,8","0,00008514950878","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,5555611","48,5396805","44,5428581",0
35,2026-02-17,01:13:58,1771290838205941483,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999991","0,8","-0,0006811959281","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6349182","48,6730194","44,7206306",0
36,2026-02-17,01:13:58,1771290838305942324,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999997","0,8","-0,0001702989891","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6412697","48,69524","44,7492104",0
37,2026-02-17,01:13:58,1771290838405943561,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999988","0,8","0,0003405979783","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,7333298","48,5904808","44,6920586",0
38,2026-02-17,01:13:59,1771290838505944215,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999993","0,8","0,00008514948036","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,7587318","48,6285706","44,7873001",0
39,2026-02-17,01:13:59,1771290838605946591,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000007","0,8","0,0005960464478","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,5714302","48,5904808","44,5872993",0
40,2026-02-17,01:13:59,1771290838705946092,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999974","0,8","-0,0003405979498","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6698418","48,6603203","44,7682495",0
41,2026-02-17,01:13:59,1771290838805947432,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999998","0,8","0,0005108969674","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6761894","48,6254005","44,6825409",0
42,2026-02-17,01:13:59,1771290838905948320,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104",485,"0,8","-0,0001702989891","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,4920692","48,5079384","44,5492096",0
43,2026-02-17,01:13:59,1771290839005948990,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000007","0,8","0,0006811959565","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6317482","48,7238083","44,7428589",0
44,2026-02-17,01:13:59,1771290839105950349,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999998","0,8","0,00008514950878","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,5682602","48,6888885","44,6793709",0
45,2026-02-17,01:13:59,1771290839205950648,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999988","0,8","-0,0004257474586","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,5523796","48,7492104","44,6793709",0
46,2026-02-17,01:13:59,1771290839305951271,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999995","0,8","-0,00008514948036","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6190491","48,5428581","44,6888885",0
47,2026-02-17,01:13:59,1771290839405952443,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999993","0,8","-0,0002554484979","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,4539719","48,4444504","44,4539719",0
48,2026-02-17,01:14:00,1771290839505953200,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999998","0,8","-0,0001702989891","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6412697","48,6539688","44,5999985",0
49,2026-02-17,01:14:00,1771290839605954589,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104",485,"0,8","-0,0001702989891","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,5619011","48,5682602","44,6444397",0
50,2026-02-17,01:14:00,1771290839705954977,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999993","0,8","-0,0002554484979","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,5999985","48,6127014","44,6507912",0
51,2026-02-17,01:14:00,1771290839805956295,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19398,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000002","0,8","0,0001702989891","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6127014","48,5492096","44,69524",0
52,2026-02-17,01:14:00,1771290839905956945,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19400,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999995","0,8",0,"2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,5555611","48,4095192","44,5238113",0
53,2026-02-17,01:14:00,1771290840005958094,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19400,0,0,0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104",485,"0,8","-0,00008514950878","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6222191","48,7047615","44,7492104",0
54,2026-02-17,01:14:00,1771290840105959093,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19400,"6,21370506","9,55384636",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000005","0,8","0,00008514948036","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6539688","48,7269897","44,6063499",0
55,2026-02-17,01:14:00,1771290840205959561,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19400,"29,9070892","46,0153809",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999998","0,8","-0,00008514948036","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6507912","48,7460289","44,7206306",0
56,2026-02-17,01:14:00,1771290840305962838,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19400,"59,2334518","91,1230774",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999998","0,8",0,"2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","48,0920601","48,8285713","44,7777786",0
57,2026-02-17,01:14:00,1771290840405961844,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19400,"67,1312408","103,276901",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000007","0,8","0,0005960464478","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,7809486","48,6539688","44,7142906",0
