"TraceType";"Single"
"TriggerType";""
"SamplePeriod";"0:0:1:0:0"
"SampleRate";"1"
"ExternalFileStorage";"False"
"MaxSamplesPerFile";"4500"
"MaxDataSetSize";"100"
"TargetDirectory";"C:\OMRON\Data\DataTrace\"
"FilePrefix";""

"SampleTimingType";"interval"
"TaskName";"BaseControl"
"SamplingInterval";"50"
"Triggers";"False:::"
"PostTriggerDataRatio";"100"
"StartOnRun";"False"
"EnableRealTimeDisplay";"False"
"BehaviorWhenMax";"Stop"

"TriggerRecordTime";"1771299782266980873"
"StartRawTime";"1771299782292982053"
"Index";"Date";"ClockTime";"RawTime";"TraceSampID";"Voltage_L1_N:REAL";"Voltage_L2_N:REAL";"Voltage_L3_N:REAL";"Current_L1:REAL";"Current_L2:REAL";"Current_L3:REAL";"Total_Active_Power:REAL";"Total_Consumed_Energy:REAL";"InvOutCurrent_Real:REAL";"Machine.IMotor:REAL";"KesmeZamani_s:INT";"KesilenAlan_m2:REAL";"AutoPar.SawDiameter:REAL";"AutoPar.SawThickness:REAL";"AutoPar.SawTooth:DINT";"Malzeme.D_H1:REAL";"Malzeme.W1:REAL";"Z_Kafa_HMI:LREAL";"Kafa.Act.Pos:LREAL";"Kafa.Act.Trq:LREAL";"Kafa.Act.Vel:LREAL";"CurrentF:REAL";"CurrentS:REAL";"AutoPar.FeedRate1:REAL";"AutoPar.FeedRate2:REAL";"AutoPar.PeripSpeed:REAL";"KafaCurrent_1_abs:LREAL";"Z_Accelerometer:REAL";"X_Accelerometer:REAL";"Y_Accelerometer:REAL";"KesmeZamani_min:INT"
"21";"2026-02-17";"03:43:02.29";"1771299782292982053";"";"228.300003";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"8.5149508777249098E-05";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.6825409";"48.5142899";"44.69841";"2"
"22";"2026-02-17";"03:43:02.39";"1771299782392982688";"";"228.300003";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999914850503";"0.80000000000000004";"-0.00017029898913278901";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.6444397";"48.5936508";"44.6571388";"2"
"23";"2026-02-17";"03:43:02.49";"1771299782492983759";"";"228.300003";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"0";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.8158684";"48.3968315";"44.7809486";"2"
"24";"2026-02-17";"03:43:02.59";"1771299782592985109";"";"228.300003";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"-0.00017029898913278901";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.7968292";"48.5777817";"44.7174606";"2"
"25";"2026-02-17";"03:43:02.69";"1771299782692986159";"";"228.300003";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"-8.5149480355539695E-05";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.6063499";"48.7174606";"44.7174606";"2"
"26";"2026-02-17";"03:43:02.79";"1771299782792986411";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"8.5149508777249098E-05";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5396805";"48.466671";"44.4888916";"2"
"27";"2026-02-17";"03:43:02.89";"1771299782892987568";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.000000510897";"0.80000000000000004";"0.00017029896071107901";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.4888916";"48.4507904";"44.4190483";"2"
"28";"2026-02-17";"03:43:02.99";"1771299782992989359";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"-0.00017029898913278901";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.4952393";"48.4603195";"44.4285698";"2"
"29";"2026-02-17";"03:43:03.09";"1771299783092989294";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"8.5149508777249098E-05";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.6539688";"48.6476212";"44.6888885";"2"
"30";"2026-02-17";"03:43:03.19";"1771299783192990138";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"0";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.6634903";"48.60952";"44.7301598";"2"
"31";"2026-02-17";"03:43:03.29";"1771299783292990791";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"-0.00034059797826557802";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.8888893";"48.6317482";"44.7015915";"2"
"32";"2026-02-17";"03:43:03.39";"1771299783392992268";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.000000510897";"0.80000000000000004";"0";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5777817";"48.533329";"44.6412697";"2"
"33";"2026-02-17";"03:43:03.49";"1771299783492994128";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000068119601";"0.80000000000000004";"0.00034059797826557802";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.6031799";"48.5523796";"44.7206306";"2"
"34";"2026-02-17";"03:43:03.59";"1771299783592993867";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30871";"0";"0";"7";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000085149497";"0.80000000000000004";"0.000510896938976657";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.6190491";"48.5777817";"44.6444397";"2"
"35";"2026-02-17";"03:43:03.69";"1771299783692995848";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30871";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"-0.00017029898913278901";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.6730194";"48.473011";"44.6285706";"0"
"36";"2026-02-17";"03:43:03.79";"1771299783792995605";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.000000510897";"0.80000000000000004";"-0.00017029898913278901";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5682602";"48.4793701";"44.6190491";"0"
"37";"2026-02-17";"03:43:03.89";"1771299783892996577";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000068119601";"0.80000000000000004";"0";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5746002";"48.6539688";"44.7079391";"0"
"38";"2026-02-17";"03:43:03.99";"1771299783992998638";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"0.00017029898913278901";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5079384";"48.4158707";"44.5523796";"0"
"39";"2026-02-17";"03:43:04.09";"1771299784092998451";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"-0.00017029898913278901";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5492096";"48.6761894";"44.7492104";"0"
"40";"2026-02-17";"03:43:04.19";"1771299784192998731";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"-8.5149508777249098E-05";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.6888885";"48.6698418";"44.7873001";"0"
"41";"2026-02-17";"03:43:04.29";"1771299784293000318";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000204358798";"0.80000000000000004";"0.00017029898913278901";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5999985";"48.4793701";"44.7206306";"0"
"42";"2026-02-17";"03:43:04.39";"1771299784393001460";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000102179399";"0.80000000000000004";"0.00042574745862111702";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.6063499";"48.7269897";"44.7873001";"0"
"43";"2026-02-17";"03:43:04.49";"1771299784493004533";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"-0.00025544846948832899";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5523796";"48.5777817";"44.7269897";"0"
"44";"2026-02-17";"03:43:04.59";"1771299784593003906";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"-8.5149480355539695E-05";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.4952393";"48.5428581";"44.7047615";"0"
"45";"2026-02-17";"03:43:04.69";"1771299784693004084";"";"228.199997";"228.100006";"228.199997";"2.83999991";"3.68000007";"2.81999993";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"8.5149480355539695E-05";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5206299";"48.530159";"44.7079391";"0"
"46";"2026-02-17";"03:43:04.79";"1771299784793005256";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000085149497";"0.80000000000000004";"-0.00017029898913278901";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.4063492";"49.4317513";"44.3619003";"0"
"47";"2026-02-17";"03:43:04.89";"1771299784893006430";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000102179399";"0.80000000000000004";"0.00042574745862111702";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5619011";"48.6920586";"44.7238083";"0"
"48";"2026-02-17";"03:43:04.99";"1771299784993009813";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"0";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5682602";"48.533329";"44.6571388";"0"
"49";"2026-02-17";"03:43:05.09";"1771299785093008163";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"0";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5968208";"48.6444397";"44.7841301";"0"
"50";"2026-02-17";"03:43:05.19";"1771299785193008750";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999897820601";"0.80000000000000004";"-0.00034059794984386799";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5936508";"48.6857109";"44.6444397";"0"
"51";"2026-02-17";"03:43:05.29";"1771299785293009955";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000017029902";"0.80000000000000004";"0";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.7365112";"48.7174606";"44.8857193";"0"
"52";"2026-02-17";"03:43:05.39";"1771299785393010842";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000068119601";"0.80000000000000004";"0";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5619011";"48.533329";"44.6920586";"0"
"53";"2026-02-17";"03:43:05.49";"1771299785493014002";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"0";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5111084";"48.6888885";"44.6888885";"0"
"54";"2026-02-17";"03:43:05.59";"1771299785593012639";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30872";"0";"0";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000085149497";"0.80000000000000004";"0.000510896938976657";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5682602";"48.533329";"44.4793701";"0"
"55";"2026-02-17";"03:43:05.69";"1771299785693013319";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30872";"0.464576095";"0.707692325";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999914850503";"0.80000000000000004";"-0.00025544846948832899";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.4984093";"48.5650787";"44.7238083";"0"
"56";"2026-02-17";"03:43:05.79";"1771299785793014097";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30874";"16.3763103";"25.2000008";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999914850503";"0.80000000000000004";"-0.00025544846948832899";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.2920609";"48.6190491";"44.8730202";"0"
"57";"2026-02-17";"03:43:05.89";"1771299785893015238";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30874";"49.3612099";"75.9384613";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999897820601";"0.80000000000000004";"-0.00068119592810944596";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.6793709";"48.4888916";"44.7238083";"0"
"58";"2026-02-17";"03:43:05.99";"1771299785993019618";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30874";"64.0534286";"98.5384598";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999931880399";"0.80000000000000004";"-0.00051089696739836698";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.5111084";"48.9396782";"44.6285706";"0"
"59";"2026-02-17";"03:43:06.09";"1771299786093017330";"";"228.199997";"228.100006";"228.199997";"2.81999993";"3.66000009";"2.83999991";"1376";"30874";"68.9314728";"106.046204";"0";"3.28134394";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.999999489103";"0.80000000000000004";"-8.5149480355539695E-05";"2.84710598";"115";"0.0700000003";"2.84710598";"115";"0.032800000000000003";"47.7079391";"48.8984108";"44.9650803";"0"
