"TraceType";"Single"
"TriggerType";""
"SamplePeriod";"0:0:1:0:0"
"SampleRate";"1"
"ExternalFileStorage";"False"
"MaxSamplesPerFile";"4500"
"MaxDataSetSize";"100"
"TargetDirectory";"C:\OMRON\Data\DataTrace\"
"FilePrefix";""

"SampleTimingType";"interval"
"TaskName";"BaseControl"
"SamplingInterval";"50"
"Triggers";"False:::"
"PostTriggerDataRatio";"100"
"StartOnRun";"False"
"EnableRealTimeDisplay";"False"
"BehaviorWhenMax";"Stop"

"TriggerRecordTime";"1771293464271297400"
"StartRawTime";"1771293464311303153"
"Index";"Date";"ClockTime";"RawTime";"TraceSampID";"Voltage_L1_N:REAL";"Voltage_L2_N:REAL";"Voltage_L3_N:REAL";"Current_L1:REAL";"Current_L2:REAL";"Current_L3:REAL";"Total_Active_Power:REAL";"Total_Consumed_Energy:REAL";"InvOutCurrent_Real:REAL";"Machine.IMotor:REAL";"KesmeZamani_s:INT";"KesilenAlan_m2:REAL";"AutoPar.SawDiameter:REAL";"AutoPar.SawThickness:REAL";"AutoPar.SawTooth:DINT";"Malzeme.D_H1:REAL";"Malzeme.W1:REAL";"Z_Kafa_HMI:LREAL";"Kafa.Act.Pos:LREAL";"Kafa.Act.Trq:LREAL";"Kafa.Act.Vel:LREAL";"CurrentF:REAL";"CurrentS:REAL";"AutoPar.FeedRate1:REAL";"AutoPar.FeedRate2:REAL";"AutoPar.PeripSpeed:REAL";"KafaCurrent_1_abs:LREAL";"Z_Accelerometer:REAL";"X_Accelerometer:REAL";"Y_Accelerometer:REAL";"KesmeZamani_min:INT"
"9";"2026-02-17";"01:57:44.31";"1771293464311303153";"";"228";"228.100006";"228.399994";"2.8599999";"3.61999989";"2.8599999";"1408";"22497";"0";"0";"23";"2.47774911";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"8.5149508777249098E-05";"2.52879596";"110";"0.0649999976";"2.52879596";"110";"0.032800000000000003";"47.5968208";"48.4444504";"44.5650787";"2"
"10";"2026-02-17";"01:57:44.41";"1771293464411298768";"";"228";"228.100006";"228.399994";"2.8599999";"3.61999989";"2.8599999";"1408";"22497";"0";"0";"23";"2.47774911";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"0.00025544846948832899";"2.52879596";"110";"0.0649999976";"2.52879596";"110";"0.032800000000000003";"47.5968208";"48.473011";"44.530159";"2"
"11";"2026-02-17";"01:57:44.51";"1771293464511299169";"";"228";"228.100006";"228.399994";"2.8599999";"3.61999989";"2.8599999";"1408";"22497";"0";"0";"23";"2.47774911";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999931880399";"0.80000000000000004";"-0.00017029898913278901";"2.52879596";"110";"0.0649999976";"2.52879596";"110";"0.032800000000000003";"47.60952";"48.5714302";"44.5492096";"2"
"12";"2026-02-17";"01:57:44.61";"1771293464611300171";"";"228";"228.100006";"228.399994";"2.8599999";"3.61999989";"2.8599999";"1408";"22497";"0";"0";"23";"2.47774911";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"0";"2.52879596";"110";"0.0649999976";"2.52879596";"110";"0.032800000000000003";"47.6317482";"48.6412697";"44.6507912";"2"
"13";"2026-02-17";"01:57:44.71";"1771293464711301415";"";"228";"228.100006";"228.399994";"2.8599999";"3.61999989";"2.8599999";"1408";"22497";"0";"0";"23";"2.47774911";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000017029902";"0.80000000000000004";"-8.5149480355539695E-05";"2.52879596";"110";"0.0649999976";"2.52879596";"110";"0.032800000000000003";"47.6761894";"48.5015907";"44.6730194";"2"
"14";"2026-02-17";"01:57:44.81";"1771293464811305416";"";"228";"228.100006";"228.399994";"2.8599999";"3.61999989";"2.8599999";"1408";"22497";"0";"0";"23";"2.47774911";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"0.00025544846948832899";"2.52879596";"110";"0.0649999976";"2.52879596";"110";"0.032800000000000003";"47.8031807";"48.526989";"44.7238083";"2"
"15";"2026-02-17";"01:57:44.91";"1771293464911300084";"";"228";"228.100006";"228.399994";"2.8599999";"3.61999989";"2.8599999";"1408";"22497";"0";"0";"23";"2.47774911";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"-0.00017029898913278901";"2.52879596";"110";"0.0649999976";"2.52879596";"110";"0.032800000000000003";"47.6603203";"48.5428581";"44.6666718";"2"
"16";"2026-02-17";"01:57:45.01";"1771293465011305486";"";"228";"228.100006";"228.399994";"2.8599999";"3.61999989";"2.8599999";"1408";"22497";"0";"0";"23";"2.47774911";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000017029902";"0.80000000000000004";"-8.5149480355539695E-05";"2.52879596";"110";"0.0649999976";"2.52879596";"110";"0.032800000000000003";"47.7142906";"48.6127014";"44.6317482";"2"
"17";"2026-02-17";"01:57:45.11";"1771293465111305166";"";"228";"228.100006";"228.399994";"2.8599999";"3.61999989";"2.8599999";"1408";"22498";"0";"0";"23";"2.47774911";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000017029902";"0.80000000000000004";"8.5149508777249098E-05";"2.52879596";"110";"0.0649999976";"2.52879596";"110";"0.032800000000000003";"47.6825409";"48.6127014";"44.7365112";"2"
"18";"2026-02-17";"01:57:45.21";"1771293465211306021";"";"228";"228.100006";"228.399994";"2.8599999";"3.61999989";"2.8599999";"1408";"22498";"0";"0";"23";"2.47774911";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000068119601";"0.80000000000000004";"0.00076634543688669499";"2.52879596";"110";"0.0649999976";"2.52879596";"110";"0.032800000000000003";"47.7682495";"48.6730194";"44.6857109";"2"
"19";"2026-02-17";"01:57:45.31";"1771293465311309685";"";"228";"228.100006";"228.399994";"2.8599999";"3.61999989";"2.8599999";"1408";"22498";"0";"0";"23";"2.47774911";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"0";"2.52879596";"110";"0.0649999976";"2.52879596";"110";"0.032800000000000003";"47.533329";"48.5492096";"44.5015907";"2"
"20";"2026-02-17";"01:57:45.41";"1771293465411308130";"";"228";"228.100006";"228.399994";"2.8599999";"3.61999989";"2.8599999";"1408";"22498";"0";"0";"23";"2.47774911";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"-0.00034059794984386799";"2.52879596";"110";"0.0649999976";"2.52879596";"110";"0.032800000000000003";"47.5015907";"48.530159";"44.4952393";"2"
