"TraceType";"Single"
"TriggerType";""
"SamplePeriod";"0:0:1:0:0"
"SampleRate";"1"
"ExternalFileStorage";"False"
"MaxSamplesPerFile";"4500"
"MaxDataSetSize";"100"
"TargetDirectory";"C:\OMRON\Data\DataTrace\"
"FilePrefix";""

"SampleTimingType";"interval"
"TaskName";"BaseControl"
"SamplingInterval";"50"
"Triggers";"False:::"
"PostTriggerDataRatio";"100"
"StartOnRun";"False"
"EnableRealTimeDisplay";"False"
"BehaviorWhenMax";"Stop"

"TriggerRecordTime";"1771295498068249173"
"StartRawTime";"1771295498120249212"
"Index";"Date";"ClockTime";"RawTime";"TraceSampID";"Voltage_L1_N:REAL";"Voltage_L2_N:REAL";"Voltage_L3_N:REAL";"Current_L1:REAL";"Current_L2:REAL";"Current_L3:REAL";"Total_Active_Power:REAL";"Total_Consumed_Energy:REAL";"InvOutCurrent_Real:REAL";"Machine.IMotor:REAL";"KesmeZamani_s:INT";"KesilenAlan_m2:REAL";"AutoPar.SawDiameter:REAL";"AutoPar.SawThickness:REAL";"AutoPar.SawTooth:DINT";"Malzeme.D_H1:REAL";"Malzeme.W1:REAL";"Z_Kafa_HMI:LREAL";"Kafa.Act.Pos:LREAL";"Kafa.Act.Trq:LREAL";"Kafa.Act.Vel:LREAL";"CurrentF:REAL";"CurrentS:REAL";"AutoPar.FeedRate1:REAL";"AutoPar.FeedRate2:REAL";"AutoPar.PeripSpeed:REAL";"KafaCurrent_1_abs:LREAL";"Z_Accelerometer:REAL";"X_Accelerometer:REAL";"Y_Accelerometer:REAL";"KesmeZamani_min:INT"
"10";"2026-02-17";"02:31:38.12";"1771295498120249212";"";"227.399994";"227.199997";"227.5";"2.74000001";"3.5999999";"2.9000001";"1352";"25307";"0";"0";"23";"2.74561405";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"-0.00025544846948832899";"2.54647994";"120";"0.0599999987";"2.54647994";"120";"0.032800000000000003";"47.7301598";"48.6127014";"44.7492104";"2"
"11";"2026-02-17";"02:31:38.22";"1771295498220250301";"";"227.399994";"227.399994";"227.699997";"1.10000002";"1.10000002";"0.379999995";"448";"25307";"0";"0";"23";"2.74561405";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"-0.00025544849791003799";"2.54647994";"120";"0.0599999987";"2.54647994";"120";"0.032800000000000003";"47.9333305";"48.4793701";"44.7492104";"2"
"12";"2026-02-17";"02:31:38.32";"1771295498320250910";"";"227.399994";"227.399994";"227.699997";"1.10000002";"1.10000002";"0.379999995";"448";"25307";"0";"0";"23";"2.74561405";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"8.5149480355539695E-05";"2.54647994";"120";"0.0599999987";"2.54647994";"120";"0.032800000000000003";"47.7333298";"48.5809517";"44.7238083";"2"
"13";"2026-02-17";"02:31:38.42";"1771295498420252286";"";"227.399994";"227.399994";"227.699997";"1.10000002";"1.10000002";"0.379999995";"448";"25307";"0";"0";"23";"2.74561405";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.000000510897";"0.80000000000000004";"-8.5149508777249098E-05";"2.54647994";"120";"0.0599999987";"2.54647994";"120";"0.032800000000000003";"47.7301598";"48.7238083";"44.7904816";"2"
"14";"2026-02-17";"02:31:38.52";"1771295498520252717";"";"227.399994";"227.399994";"227.699997";"1.10000002";"1.10000002";"0.379999995";"448";"25307";"0";"0";"23";"2.74561405";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000085149497";"0.80000000000000004";"0";"2.54647994";"120";"0.0599999987";"2.54647994";"120";"0.032800000000000003";"47.7650795";"48.7999992";"44.7936516";"2"
"15";"2026-02-17";"02:31:38.62";"1771295498620253870";"";"227.399994";"227.399994";"227.699997";"1.10000002";"1.10000002";"0.379999995";"448";"25307";"0";"0";"23";"2.74561405";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"0.00034059797826557802";"2.54647994";"120";"0.0599999987";"2.54647994";"120";"0.032800000000000003";"47.7269897";"48.8381004";"44.7841301";"2"
"16";"2026-02-17";"02:31:38.72";"1771295498720254652";"";"227.399994";"227.399994";"227.699997";"1.10000002";"1.10000002";"0.379999995";"448";"25307";"0";"0";"23";"2.74561405";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.999999489103";"0.80000000000000004";"-0.00025544846948832899";"2.54647994";"120";"0.0599999987";"2.54647994";"120";"0.032800000000000003";"47.8031807";"48.533329";"44.6730194";"2"
"17";"2026-02-17";"02:31:38.82";"1771295498820255754";"";"227.399994";"227.399994";"227.699997";"1.10000002";"1.10000002";"0.379999995";"448";"25307";"0";"0";"23";"2.74561405";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"0.00017029898913278901";"2.54647994";"120";"0.0599999987";"2.54647994";"120";"0.032800000000000003";"47.6603203";"48.6730194";"44.7269897";"2"
"18";"2026-02-17";"02:31:38.92";"1771295498920256309";"";"227.399994";"227.399994";"227.699997";"1.10000002";"1.10000002";"0.379999995";"448";"25307";"0";"0";"23";"2.74561405";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"-0.00017029898913278901";"2.54647994";"120";"0.0599999987";"2.54647994";"120";"0.032800000000000003";"47.6539688";"48.6222191";"44.6317482";"2"
"19";"2026-02-17";"02:31:39.02";"1771295499020257366";"";"227.399994";"227.399994";"227.699997";"1.10000002";"1.10000002";"0.379999995";"448";"25307";"0";"0";"23";"2.74561405";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000119209301";"0.80000000000000004";"0.00059604644775390603";"2.54647994";"120";"0.0599999987";"2.54647994";"120";"0.032800000000000003";"47.6380997";"48.5079384";"44.6158791";"2"
