File_ID,Percent_Complete,IMotor_std,Z_Accel_std,VibRes_Accel_std,Trq_std,IMotor_HF_Noise,Z_Accel_HF_Noise,Z_HighFreq_RMS,IMotor_HighFreq_RMS,Trq_HighFreq_RMS,IMotor_std_Ratio_to_Past,Z_Accel_std_Ratio_to_Past,VibRes_Accel_std_Ratio_to_Past,Trq_std_Ratio_to_Past,IMotor_HighFreq_RMS_Ratio_to_Past,Z_HighFreq_RMS_Ratio_to_Past,IMotor_std_Trend,Z_Accel_std_Trend,VibRes_Accel_std_Trend,Trq_std_Trend,IMotor_HighFreq_RMS_Trend,Z_HighFreq_RMS_Trend,chatter
cutting_5,0.0076687116564417,0.0738882821227809,0.1082842757754638,0.1247587764502281,0.3645392830531284,0.0492539040554937,0.1444666629177758,0.1415272627017785,0.0475562443222409,0.4055175020198813,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_5,0.0084355828220858,0.0774505081773308,0.192622346969302,0.2939908486733842,0.3339993346633426,0.0777299719171244,0.2712427996049682,0.2640999747253318,0.0737812013370012,0.410960933531265,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_5,0.00920245398773,0.0800387633978749,0.1889467565187254,0.2892726707923226,0.2884826203122507,0.0733794642359325,0.3286649122386186,0.3100145931461808,0.0691828223480849,0.3771236166328253,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_5,0.0099693251533742,0.0800387633978749,0.2711898575214533,0.3191765298150726,0.2990726407487726,0.0733794642359325,0.3780514434688499,0.3647800796830854,0.0691828223480849,0.3711842908553348,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_5,0.0107361963190184,0.0774505081773308,0.266859312397609,0.3142847929059273,0.2740640638812595,0.0777299719171244,0.4304043108825832,0.406010409476092,0.0737812013370012,0.3785938897200182,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_5,0.0115030674846625,0.0774505081773308,0.2697222764031844,0.3251644719780102,0.2740640638812595,0.0828474621674829,0.4331471661828676,0.4088524648012945,0.0781093364036308,0.3785938897200182,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_5,0.0122699386503067,0.073888282122781,0.2703475833829345,0.3251484576941512,0.280673792466945,0.0828474621674829,0.4395396639226565,0.4144033197137465,0.0781093364036308,0.3999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_5,0.0130368098159509,0.0798415040176029,0.2706601048676046,0.3257853175407713,0.280673792466945,0.0828474621674829,0.4395619471679777,0.4144303401671212,0.0781093364036308,0.3999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_5,0.013803680981595,0.073888282122781,0.2697881509866983,0.3248953669986368,0.2748737083745107,0.0883769926862206,0.4402845892588624,0.4151056419242325,0.0839515293611935,0.3958114029012639,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_5,0.0145705521472392,0.0659919126604533,0.269810573506148,0.3253515447039544,0.2485513584307632,0.0883769926862206,0.4364565963747083,0.4118882913595858,0.0839515293611935,0.260341655863555,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_5,0.0153374233128834,0.0553265638584266,0.2646555749097694,0.3189052698912461,0.1828782229912693,0.065321040930369,0.3528841382027547,0.3376939747704101,0.0621754773635787,0.260341655863555,1.0,1.0,1.0,1.0,1.0,1.0,0.0002482774881977,0.1451759779708791,0.1914387506491195,-0.0908059232313965,0.0274772149444621,0.2332006462749295,0
cutting_5,0.0161042944785276,0.0520194220560071,0.1987903588811808,0.1297377973711836,0.1828782229912693,0.065321040930369,0.3127881524226863,0.295345603663406,0.0621754773635787,0.2236067977499789,1.0,1.0,1.0,1.0,1.0,1.0,-0.0040759441512095,0.1036237435651478,0.0903974094073214,-0.090648060203711,0.0132041640397397,0.1750388531569603,0
cutting_5,0.0168711656441717,0.0471119021178784,0.2019537031660358,0.1405998465894817,0.2366431913239846,0.065321040930369,0.2270363697132986,0.2255994422702598,0.0621754773635787,0.2333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,-0.0088250863618155,0.0920932898477647,0.0488975075768652,-0.0755697735872093,0.0096653963684678,0.1308636799251596,0
cutting_5,0.0176380368098159,0.0400195179724996,0.0905520055801301,0.1327229578051483,0.3281259920619923,0.0600785787576779,0.1213965563199009,0.1150441359105848,0.0566426272581388,0.4521553322083511,1.0,1.0,1.0,1.0,1.0,1.0,-0.0135552389456562,0.0470531552118933,0.0094598759150991,-0.0651808288073537,0.0069923602730626,0.0743318848415791,0
cutting_5,0.0184049079754601,0.0400195179724996,0.0914013839525834,0.1354366316487226,0.3267686915507324,0.0527985053972832,0.1125100626276364,0.1074181920828266,0.0505072713578946,0.4932882862316246,1.0,1.0,1.0,1.0,1.0,1.0,-0.0172176237468124,0.0141876617271162,-0.0199219575052563,-0.0504184848777836,0.0028938815255222,0.017291676719853,0
cutting_5,0.0191717791411042,0.0291909534582377,0.1004769284589306,0.1218606170094387,0.3204163957519443,0.04615495,0.1356275073469555,0.1308718399293918,0.043515304173768,0.4795831523312718,1.0,1.0,1.0,1.0,1.0,1.0,-0.0219897697391704,-0.013427167495088,-0.049730301043884,-0.0394553309156332,-0.0024676013749886,-0.0291007192431372,0
cutting_5,0.0199386503067484,0.0291909534582377,0.100300638225877,0.1274664795577943,0.3204163957519443,0.0307699666666666,0.1633692470978664,0.1540324661844563,0.0307699666666666,0.4853406592853677,1.0,1.0,1.0,1.0,1.0,1.0,-0.0259121778267239,-0.0381571161706002,-0.0762661811325187,-0.0319053741171728,-0.0085601666897741,-0.0692124506377024,0
cutting_5,0.0207055214723926,0.0291909534582377,0.103757561182296,0.1348633948859038,0.320589734361189,0.0307699666666666,0.1628185086661608,0.1549588862540253,0.0307699666666666,0.4853406592853678,1.0,1.0,1.0,1.0,1.0,1.0,-0.0313108920353375,-0.0606803763445696,-0.1005137425850824,-0.0252320075752779,-0.0143130749192873,-0.1057189581169109,0
cutting_5,0.0214723926380368,0.0389212712776503,0.095676340801187,0.1425151312969895,0.3204163957519443,0.0307699666666666,0.1650924536125067,0.1561678081614601,0.0307699666666666,0.4853406592853677,1.0,1.0,1.0,1.0,1.0,1.0,-0.0344056366947303,-0.0825314558916945,-0.1226626143516252,-0.0179474621086759,-0.0210728969385489,-0.139900612201233,0
cutting_5,0.0222392638036809,0.0445899179434357,0.0872988283786497,0.1326906714267498,0.317804971641414,0.0307699666666666,0.1650246014203603,0.1559704544930621,0.0307699666666666,0.4818944098266986,1.0,1.0,1.0,1.0,1.0,1.0,-0.035434634080103,-0.1043367914792483,-0.14510299800698,-0.0062056444101493,-0.0275443858078488,-0.1718009573978566,0
cutting_5,0.0230061349693251,0.0652707171199057,0.0841304796882564,0.1302250494439257,0.3683295625749671,0.0407027453410433,0.1576767153384483,0.1492942237403976,0.0435130650599085,0.5259911279353165,0.8833703429651356,0.7769408724006038,1.043814737120946,1.0103974515176908,0.9149811066884131,1.0548796104040066,-0.0325840469275197,-0.1380264309148302,-0.1833856693958138,0.0305055955544062,-0.0308725503423496,-0.210257603707721,0
