File_ID,RawTime,IMotor,Kafa_Act_Trq,X_Accelerometer,Y_Accelerometer,Z_Accelerometer
cutting_9,1771298743463107317,28.5846195,-2.4,48.3745995,44.9269791,47.7333298
cutting_9,1771298743563108185,28.5846195,-2.3,48.2222214,44.5492096,47.5650787
cutting_9,1771298743663109270,28.6769199,-2.2,48.2380905,44.4222183,47.4888916
cutting_9,1771298743763110695,28.5846195,-2.3,48.2603188,44.2412682,47.4634895
cutting_9,1771298743863111370,28.4923096,-2.2,48.1587296,44.4888916,47.3650818
cutting_9,1771298743963111130,28.5846195,-2.1,48.2920609,43.9936485,48.0761909
cutting_9,1771298744063113471,28.4923096,-1.8,48.2444496,44.3872986,47.6317482
cutting_9,1771298744163114247,28.5846195,-2.2,48.2476196,44.4603195,47.6888885
cutting_9,1771298744263114759,28.4153805,-2.2,48.2634888,44.473011,47.6507912
cutting_9,1771298744363116706,28.4923096,-2.5,48.2825394,44.4920692,47.7047615
cutting_9,1771298744463116619,28.4923096,-3.0,48.2761917,44.5428581,47.5936508
cutting_9,1771298744563117838,28.5846195,-2.1,48.0476189,44.4222183,47.6317482
cutting_9,1771298744663118949,28.5846195,-2.0,48.4952393,44.7650795,47.6793709
cutting_9,1771298744763119533,28.4923096,-2.1,48.165081,44.530159,47.6603203
cutting_9,1771298744863121350,28.7692299,-1.7,48.2000008,45.0285683,47.6698418
cutting_9,1771298744963121798,28.5846195,-2.5,48.3301582,44.60952,47.6158791
cutting_9,1771298745063122723,28.6769199,-2.3,48.228569,44.5015907,47.9841309
cutting_9,1771298745163123586,28.4923096,-2.1,48.1333389,44.4317513,47.3079414
cutting_9,1771298745263124075,28.5846195,-2.5,48.1777802,44.5142899,47.5047607
cutting_9,1771298745363125110,28.5846195,-2.5,48.3333397,44.469841,47.7460289
cutting_9,1771298745463125560,28.5846195,-2.5,48.30159,44.5523796,47.6476212
cutting_9,1771298745563128252,28.6769199,-2.7,48.1206398,44.469841,47.5460281
cutting_9,1771298745663127878,28.6769199,-2.0,48.3650818,44.6476212,47.4984093
cutting_9,1771298745763129329,28.7692299,-1.9,48.2444496,44.5079384,47.69524
cutting_9,1771298745863130090,28.5846195,-1.8,48.0666695,44.4031792,47.6190491
cutting_9,1771298745963131038,28.6769199,-1.8,48.5650787,44.530159,47.69841
cutting_9,1771298746063131219,28.6769199,-2.2,48.0063515,44.4031792,47.5587311
cutting_9,1771298746163132560,28.7692299,-2.3,48.3619003,44.7555618,47.6412697
cutting_9,1771298746263133591,28.6769199,-2.2,48.1428604,44.4253998,47.4571419
cutting_9,1771298746363134503,28.6769199,-2.4,48.2349205,44.4444504,47.4857101
cutting_9,1771298746463135054,28.6769199,-2.4,48.3333397,44.3936501,47.6317482
cutting_9,1771298746563136353,28.6769199,-2.5,48.2698402,44.6031799,47.8888893
cutting_9,1771298746663137190,28.7692299,-2.4,48.3301582,44.5777817,47.5968208
cutting_9,1771298746763138520,28.4153805,-2.4,48.2317505,44.5142899,47.7682495
cutting_9,1771298746863139119,28.4923096,-2.1,48.1111107,44.3650818,47.4127007
cutting_9,1771298746963140031,28.4923096,-2.0,48.2730217,44.5238113,47.6285706
cutting_9,1771298747063140559,28.5846195,-1.9,48.1079407,44.3968315,47.5492096
cutting_9,1771298747163141353,28.6769199,-2.4,48.2095299,44.4761887,47.5523796
cutting_9,1771298747263142568,28.4923096,-2.7,47.9301605,44.2952385,47.5682602
cutting_9,1771298747363143242,28.4923096,-2.5,48.2126999,44.4063492,47.5047607
cutting_9,1771298747463144532,28.5846195,-2.8,48.2031708,44.5619011,47.5650787
cutting_9,1771298747563145210,28.6769199,-2.2,48.1015892,44.4444504,47.5904808
cutting_9,1771298747663145914,28.5846195,-2.2,48.2444496,44.4952393,47.6476212
cutting_9,1771298747763147341,28.5846195,-2.2,47.9809494,44.3872986,47.6317482
cutting_9,1771298747863148586,28.4923096,-2.3,48.1936493,44.2698402,47.5904808
cutting_9,1771298747963149469,28.4153805,-2.2,48.1206398,44.3619003,47.4793701
cutting_9,1771298748063150240,28.5846195,-2.1,47.6761894,44.4253998,47.8634911
cutting_9,1771298748163150769,28.6769199,-1.9,48.165081,44.4349213,47.60952
cutting_9,1771298748263151812,28.5846195,-2.4,48.1745987,44.4793701,47.5872993
cutting_9,1771298748363153135,28.4923096,-2.3,48.2063484,44.5682602,47.7206306
cutting_9,1771298748463153347,28.5846195,-2.5,48.3396797,44.2158699,46.9365082
cutting_9,1771298748563154586,28.5846195,-2.7,48.1841316,44.3333282,47.7238083
cutting_9,1771298748663155598,28.8615398,-2.2,47.9396782,44.8444405,47.4444504
cutting_9,1771298748763156472,28.7692299,-2.3,48.2793694,44.1904793,47.9460297
cutting_9,1771298748863157312,28.9538498,-2.5,48.3714294,44.3174591,47.5809517
cutting_9,1771298748963158926,29.1230793,-2.0,48.2476196,44.5714302,47.3301582
cutting_9,1771298749063159330,29.1230793,-2.6,48.2444496,44.4380989,47.8666687
cutting_9,1771298749163160428,29.2153893,-2.5,48.2666702,44.7079391,47.8539696
cutting_9,1771298749263161287,29.3076897,-2.7,48.30159,44.8031807,47.8190498
cutting_9,1771298749363162608,29.3999996,-2.9,48.2190514,44.3714294,47.5746002
cutting_9,1771298749463163383,29.4769192,-2.8,48.2158699,45.0412712,47.8190498
cutting_9,1771298749563163809,29.5692291,-2.8,47.9936485,45.0666695,48.0063515
cutting_9,1771298749663165196,29.5692291,-2.8,48.4000015,44.1079407,48.00317
cutting_9,1771298749763167306,29.5692291,-2.4,48.0730209,44.3460312,47.4412689
cutting_9,1771298749863167213,29.8461494,-2.3,48.1523819,44.3174591,47.2761917
cutting_9,1771298749963167528,29.8461494,-2.1,48.1142807,44.99683,48.2031708
cutting_9,1771298750063168724,29.9230804,-2.3,47.9873009,44.1111107,47.0476189
cutting_9,1771298750163169330,29.8461494,-3.0,48.2634888,44.8254013,47.6825409
cutting_9,1771298750263170462,29.8461494,-3.2,48.2063484,44.4793701,47.6888885
cutting_9,1771298750363171077,29.8461494,-3.0,48.2444496,44.161911,47.2793694
cutting_9,1771298750463172183,29.9230804,-3.0,48.4190483,44.1269798,47.2507896
cutting_9,1771298750563173366,30.2000008,-2.6,48.1111107,44.5396805,47.7619095
cutting_9,1771298750663174221,30.2000008,-2.8,47.8984108,44.6571388,47.5619011
cutting_9,1771298750763175329,30.3692303,-3.1,47.9111099,44.9333305,48.2571411
cutting_9,1771298750863176319,30.2923107,-3.1,47.8952408,45.1745987,48.2000008
cutting_9,1771298750963177499,30.3692303,-2.7,48.6603203,43.8539696,48.3777809
cutting_9,1771298751063178116,30.3692303,-2.5,48.5015907,44.7174606,47.8444405
cutting_9,1771298751163178553,30.2923107,-2.3,48.1301613,44.168251,47.2634888
cutting_9,1771298751263179457,30.3692303,-3.1,48.0349197,44.8857193,47.9079399
cutting_9,1771298751363181808,30.3692303,-3.4,48.1269798,44.7999992,48.0857201
cutting_9,1771298751463181593,30.4615402,-3.2,48.2634888,43.6666718,47.8126984
cutting_9,1771298751563182494,30.5538502,-3.4,48.4095192,44.6730194,48.1269798
cutting_9,1771298751663183979,30.6461506,-2.6,48.2476196,44.1238098,47.4857101
cutting_9,1771298751763184506,30.6461506,-2.5,47.9365082,43.5428581,46.6158791
cutting_9,1771298751863181376,30.8153801,-2.7,48.0,44.4825401,47.4539719
cutting_9,1771298751963187298,30.7384605,-3.0,48.1238098,44.8730202,46.9777794
cutting_9,1771298752063186704,30.8153801,-3.2,47.9746094,44.2952385,47.1587296
cutting_9,1771298752163188166,30.8153801,-2.9,48.2412682,44.8825417,47.9682503
cutting_9,1771298752263190334,31.0,-2.8,48.4158707,45.1301613,48.5714302
cutting_9,1771298752363193447,30.90769,-3.1,48.161911,44.3809509,47.2476196
cutting_9,1771298752463191205,30.90769,-3.1,48.30159,44.533329,47.4539719
cutting_9,1771298752563191926,30.8153801,-3.3,48.1301613,44.7015915,47.6380997
cutting_9,1771298752663193161,30.8153801,-3.6,47.9809494,44.0920601,47.1079407
cutting_9,1771298752763193547,31.0,-2.8,48.2349205,44.3365097,47.6793709
cutting_9,1771298752863197358,31.09231,-2.7,48.0476189,44.473011,47.5936508
cutting_9,1771298752963195521,31.1846199,-2.9,48.0730209,44.30476,47.4349213
cutting_9,1771298753063196542,31.1846199,-2.8,48.2984085,44.4507904,47.6349182
cutting_9,1771298753163197243,31.1846199,-3.4,48.0,44.6063499,47.6825409
cutting_9,1771298753263198746,31.3538494,-3.3,48.7269897,44.8539696,47.7206306
cutting_9,1771298753363202941,31.3538494,-3.0,48.1174583,44.4444504,47.7523804
cutting_9,1771298753463200643,31.3538494,-3.3,48.1428604,44.0476189,47.1714287
cutting_9,1771298753563202349,31.2769203,-3.2,48.2412682,45.0158691,48.1460304
cutting_9,1771298753663202080,31.2769203,-3.3,48.1523819,44.6888885,47.99683
cutting_9,1771298753763203614,31.2769203,-3.3,48.2698402,44.2539711,47.4380989
cutting_9,1771298753863207907,31.4461498,-2.8,48.3936501,44.4380989,47.9460297
cutting_9,1771298753963205700,31.5384598,-2.7,47.9238091,44.165081,47.3269806
cutting_9,1771298754063205912,31.6307697,-2.7,47.9873009,43.6634903,46.5809517
cutting_9,1771298754163206150,31.7230797,-3.1,48.0730209,44.4190483,47.4888916
cutting_9,1771298754263203878,31.7230797,-3.7,48.4825401,44.5396805,47.9777794
cutting_9,1771298754363211940,31.7999992,-3.5,48.2095299,44.0857201,47.4095192
cutting_9,1771298754463209518,31.7999992,-3.3,48.3809509,44.5142899,47.6920586
cutting_9,1771298754563210973,31.7999992,-3.2,48.1301613,45.1904793,48.4444504
cutting_9,1771298754663211725,31.7230797,-2.9,47.834919,44.1333389,47.3396797
cutting_9,1771298754763212173,31.7230797,-3.2,48.2888908,44.3174591,47.4190483
