File_ID,RawTime,IMotor,Kafa_Act_Trq,X_Accelerometer,Y_Accelerometer,Z_Accelerometer
cutting_1,1771303074411760139,33.5999985,-1.8,48.4000015,44.5777817,47.6158791
cutting_1,1771303074511760813,33.41539,-2.2,48.2349205,44.4063492,47.5111084
cutting_1,1771303074611762952,33.5076904,-2.4,48.2857094,44.4095192,47.530159
cutting_1,1771303074711764743,33.5999985,-1.8,48.1809502,44.4539719,47.526989
cutting_1,1771303074811764011,33.5999985,-1.7,48.3365097,44.5396805,47.5841293
cutting_1,1771303074911765449,33.5999985,-2.9,48.3872986,44.4920692,47.4349213
cutting_1,1771303075011766806,33.5999985,-2.7,48.2888908,44.5460281,47.5396805
cutting_1,1771303075111766989,33.5999985,-1.9,48.1873016,44.4031792,47.5396805
cutting_1,1771303075211767566,33.6769218,-2.0,48.228569,44.4920692,47.5047607
cutting_1,1771303075311768368,33.5076904,-2.5,48.30476,44.4952393,47.4825401
cutting_1,1771303075411770131,33.41539,-2.3,48.3238106,44.3523788,47.4285698
cutting_1,1771303075511770188,33.5076904,-1.9,48.6539688,44.4253998,47.3841286
cutting_1,1771303075611771086,33.5076904,-2.4,48.530159,44.4603195,47.526989
cutting_1,1771303075711772216,33.6769218,-2.9,48.3587303,44.530159,47.6063499
cutting_1,1771303075811773946,33.6769218,-2.3,48.2634888,44.5492096,47.7269897
cutting_1,1771303075911777708,33.5999985,-1.6,48.161911,44.4000015,47.39048
cutting_1,1771303076011774874,33.5999985,-2.0,48.3142891,44.5428581,47.533329
cutting_1,1771303076111776708,33.6769218,-2.2,48.2571411,44.4634895,47.5777817
cutting_1,1771303076211778366,33.5999985,-1.9,48.3555603,44.5079384,47.7111092
cutting_1,1771303076311779213,33.6769218,-2.2,48.2666702,44.4825401,47.4285698
cutting_1,1771303076411779321,33.7692299,-2.9,48.1365089,44.4063492,47.6031799
cutting_1,1771303076511779744,33.7692299,-2.4,48.3872986,44.5809517,47.5682602
cutting_1,1771303076611777423,33.5999985,-1.8,48.4158707,44.6317482,47.7841301
cutting_1,1771303076711781144,33.5999985,-2.0,48.1809502,44.4603195,47.6349182
cutting_1,1771303076811782544,33.6769218,-2.3,48.4857101,44.7142906,47.5492096
cutting_1,1771303076911784878,33.7692299,-1.9,48.2666702,44.5142899,47.6031799
cutting_1,1771303077011785139,33.5999985,-1.6,48.2952385,44.4317513,47.6539688
cutting_1,1771303077111785174,33.5999985,-2.2,48.1238098,44.4222183,47.6412697
cutting_1,1771303077211786375,33.7692299,-2.8,48.2190514,44.2984085,47.4000015
cutting_1,1771303077311787066,33.6769218,-2.1,48.4412689,44.0539703,47.5174599
cutting_1,1771303077411789421,33.5076904,-1.8,48.5872993,44.7777786,47.6825409
cutting_1,1771303077511789233,33.5999985,-2.3,48.1174583,44.4095192,47.5111084
cutting_1,1771303077611790036,33.7692299,-2.5,48.2126999,44.39048,47.4761887
cutting_1,1771303077711791152,33.6769218,-2.0,48.1523819,44.4571419,47.7333298
cutting_1,1771303077811792405,33.5999985,-2.1,48.2857094,44.4793701,47.5555611
cutting_1,1771303077911793303,33.5999985,-2.3,48.2698402,44.5111084,47.533329
cutting_1,1771303078011793475,33.5999985,-2.2,48.1079407,44.3111115,47.6254005
cutting_1,1771303078111794684,33.6769218,-1.7,47.9015884,44.4190483,47.4603195
cutting_1,1771303078211796047,33.6769218,-1.9,48.2031708,44.4571419,47.6603203
cutting_1,1771303078311796262,33.5076904,-2.3,48.2222214,44.473011,47.5936508
cutting_1,1771303078411799652,33.5076904,-2.1,48.3428612,44.5936508,47.6412697
cutting_1,1771303078511798402,33.5999985,-2.1,48.1111107,44.3777809,47.4476204
cutting_1,1771303078611799687,33.5999985,-3.0,48.161911,44.3682594,47.4857101
cutting_1,1771303078711801152,33.6769218,-2.9,48.2222214,44.3301582,47.3714294
