File_ID,RawTime,IMotor,Kafa_Act_Trq,X_Accelerometer,Y_Accelerometer,Z_Accelerometer
cutting_G,1771301627270208242,25.6461506,-2.1,48.4634895,44.5650787,47.4127007
cutting_G,1771301627370209952,25.7230797,-1.9,48.1142807,44.4761887,47.4095192
cutting_G,1771301627470209219,25.7230797,-2.3,48.2031708,44.4539719,47.3841286
cutting_G,1771301627570213561,25.7230797,-2.8,48.30159,44.3936501,47.6698418
cutting_G,1771301627670212205,25.7230797,-1.9,48.2095299,44.4222183,47.4603195
cutting_G,1771301627770212439,25.7230797,-2.6,48.5555611,44.4158707,47.5396805
cutting_G,1771301627870213529,25.6461506,-2.0,48.1587296,44.4253998,47.3650818
cutting_G,1771301627970214088,25.6461506,-2.0,48.0507889,44.3460312,47.5841293
cutting_G,1771301628070217178,25.7230797,-2.5,48.30159,44.5079384,47.7269897
cutting_G,1771301628170217139,25.7230797,-2.5,48.0888901,44.469841,47.6127014
cutting_G,1771301628270217091,25.6461506,-2.1,48.3428612,44.6285706,47.533329
cutting_G,1771301628370214380,25.7230797,-2.2,48.5587311,44.6254005,47.5142899
cutting_G,1771301628470218659,25.8153801,-2.1,48.30159,44.4127007,47.3587303
cutting_G,1771301628570221887,25.7230797,-2.6,48.2730217,44.5206299,47.5746002
cutting_G,1771301628670220695,25.8153801,-2.3,48.1523819,44.4571419,47.4634895
cutting_G,1771301628770221282,25.6461506,-1.8,48.2730217,44.5999985,47.69841
cutting_G,1771301628870222677,25.7230797,-2.5,48.2095299,44.8381004,47.7111092
cutting_G,1771301628970224116,25.7230797,-1.8,48.1174583,44.4603195,47.4539719
cutting_G,1771301629070227626,25.8153801,-2.5,48.1555595,44.3365097,47.60952
cutting_G,1771301629170226091,25.8153801,-2.7,48.2126999,44.4158707,47.6190491
cutting_G,1771301629270226507,25.8153801,-1.8,48.1142807,44.3523788,47.9904785
cutting_G,1771301629370227857,25.7230797,-2.3,48.1492119,44.4380989,47.3396797
cutting_G,1771301629470229043,25.8153801,-2.3,48.1714287,44.4380989,47.3396797
cutting_G,1771301629570233289,25.8153801,-2.0,48.0253983,44.3872986,47.2507896
cutting_G,1771301629670230702,25.8153801,-2.5,48.1936493,44.3936501,47.6793709
cutting_G,1771301629770231364,25.7230797,-2.4,48.2380905,44.4857101,47.5079384
cutting_G,1771301629870232286,25.7230797,-1.9,48.2380905,44.8126984,47.4507904
cutting_G,1771301629970232801,25.7230797,-2.6,48.6254005,44.7650795,47.530159
cutting_G,1771301630070235730,25.8153801,-2.1,48.161911,44.4603195,47.5111084
cutting_G,1771301630170235086,25.8153801,-2.8,48.0730209,44.3745995,47.4571419
cutting_G,1771301630270235780,25.7230797,-2.4,47.9682503,44.5460281,47.533329
cutting_G,1771301630370241408,25.6461506,-2.1,47.9460297,44.3587303,47.5619011
cutting_G,1771301630470238166,25.6461506,-2.3,48.5015907,44.2380905,47.3650818
cutting_G,1771301630570241087,25.7230797,-2.2,48.0952415,44.4603195,47.4222183
cutting_G,1771301630670239352,25.6461506,-2.5,48.1238098,44.3777809,47.2380905
cutting_G,1771301630770236380,25.6461506,-2.8,48.228569,44.4761887,47.3206406
cutting_G,1771301630870241891,25.7230797,-2.1,48.0317497,44.3142891,47.4634895
cutting_G,1771301630970242501,25.7230797,-2.0,47.9619102,44.5777817,47.2317505
cutting_G,1771301631070246887,25.8153801,-2.6,48.2031708,44.4825401,47.3428612
cutting_G,1771301631170244352,25.7230797,-2.3,48.1555595,44.4952393,47.4539719
cutting_G,1771301631270244727,25.7230797,-2.7,48.1587296,44.3523788,47.4857101
cutting_G,1771301631370246089,25.6461506,-2.3,48.1714287,44.6571388,47.0190506
cutting_G,1771301631470248636,25.7230797,-1.8,48.079361,44.2603188,47.4539719
cutting_G,1771301631570249294,25.6461506,-2.3,48.2666702,44.533329,47.6539688
cutting_G,1771301631670249243,25.6461506,-2.5,48.1079407,44.3968315,47.4888916
cutting_G,1771301631770249665,25.5538502,-2.6,48.0666695,44.60952,47.2031708
cutting_G,1771301631870251111,25.90769,-2.5,48.4984093,44.8285713,46.9428596
cutting_G,1771301631970251808,26.09231,-2.2,48.5619011,44.3650818,46.4952393
cutting_G,1771301632070256178,26.2615395,-2.2,47.7523804,44.3682594,48.2507896
cutting_G,1771301632170253197,26.4461498,-3.0,48.1587296,44.4222183,47.8539696
cutting_G,1771301632270254035,26.5384598,-2.5,47.9809494,44.6254005,48.2476196
cutting_G,1771301632370256790,26.5384598,-2.6,48.3619003,44.5999985,47.4507904
cutting_G,1771301632470256899,26.6307697,-2.4,48.1365089,44.8095207,47.4000015
cutting_G,1771301632570257834,26.7076893,-2.5,48.0952415,44.2952385,47.5999985
cutting_G,1771301632670258547,26.8923092,-2.8,48.4031792,44.4825401,47.4761887
cutting_G,1771301632770259194,26.9846191,-2.7,48.0634918,45.2888908,47.4952393
cutting_G,1771301632870260433,27.1538506,-2.7,48.0253983,44.3492088,47.3365097
cutting_G,1771301632970260871,27.1538506,-2.6,48.2507896,44.7111092,47.2507896
cutting_G,1771301633070257727,27.3384609,-2.5,48.0920601,44.4158707,47.7460289
cutting_G,1771301633170262294,27.4307709,-2.6,48.1809502,44.3301582,47.4571419
cutting_G,1771301633270263149,27.4307709,-3.2,48.2222214,44.533329,47.5777817
cutting_G,1771301633370266929,27.4307709,-2.3,48.0603218,44.834919,47.9428596
cutting_G,1771301633470264920,27.4307709,-2.8,47.7999992,45.0698395,47.3619003
cutting_G,1771301633570269052,27.5230808,-2.8,48.2444496,44.5365105,47.3714294
cutting_G,1771301633670268006,27.6923103,-2.6,48.3619003,43.7936516,47.5396805
cutting_G,1771301633770268221,27.6923103,-3.6,48.2380905,44.1492119,47.530159
cutting_G,1771301633870269458,27.8769207,-3.2,48.1015892,44.4507904,47.5777817
cutting_G,1771301633970270102,27.9692307,-2.6,48.0253983,44.6127014,47.3745995
cutting_G,1771301634070270409,28.0461502,-3.0,48.2380905,44.7873001,47.0539703
cutting_G,1771301634170271521,28.0461502,-2.9,48.7809486,44.0444489,47.1492119
cutting_G,1771301634270272879,28.2307701,-2.8,48.0698395,44.2126999,47.2380905
cutting_G,1771301634370276832,28.1384602,-3.6,48.1714287,44.3587303,47.6603203
cutting_G,1771301634470274536,28.2307701,-2.6,47.9047585,44.3745995,47.5841293
cutting_G,1771301634570276444,28.1384602,-3.0,48.0507889,44.5619011,47.0952415
cutting_G,1771301634670276711,28.4153805,-3.0,48.2158699,44.9904785,47.5746002
cutting_G,1771301634770277201,28.3230801,-3.1,48.2730217,44.0412712,47.3301582
cutting_G,1771301634870278451,28.6769199,-3.5,48.2698402,43.7809486,47.6127014
cutting_G,1771301634970279177,28.7692299,-3.0,47.9523811,44.6857109,47.69841
cutting_G,1771301635070280547,28.8615398,-2.8,48.0603218,44.5999985,47.6222191
cutting_G,1771301635170281412,28.8615398,-3.3,48.2190514,44.6920586,47.2666702
cutting_G,1771301635270282358,28.9538498,-3.0,47.9587288,44.5746002,47.8254013
cutting_G,1771301635370282921,28.8615398,-3.4,48.228569,44.4857101,47.9650803
cutting_G,1771301635470284121,28.8615398,-3.7,48.1587296,44.3745995,47.7555618
cutting_G,1771301635570286426,28.8615398,-2.6,48.2571411,44.1492119,47.4253998
cutting_G,1771301635670285951,28.9538498,-3.4,48.165081,44.2539711,47.2666702
cutting_G,1771301635770287054,28.9538498,-3.2,48.1365089,44.161911,47.8095207
cutting_G,1771301635870288800,29.3076897,-3.2,48.0158691,44.1777802,47.3365097
cutting_G,1771301635970288583,29.4769192,-3.4,48.2222214,44.4825401,47.7238083
cutting_G,1771301636070289792,29.5692291,-3.0,48.2190514,44.3841286,47.771431
cutting_G,1771301636170293175,29.3999996,-2.8,48.0539703,44.2857094,47.30476
cutting_G,1771301636270291696,29.5692291,-3.2,48.1587296,44.7650795,47.5238113
cutting_G,1771301636370294445,29.4769192,-3.5,48.1301613,43.5872993,47.079361
cutting_G,1771301636470293880,29.6615391,-3.2,48.2952385,44.3238106,47.7333298
cutting_G,1771301636570294084,29.4769192,-3.3,47.8888893,45.0730209,48.1015892
cutting_G,1771301636670295261,29.5692291,-2.9,47.8476181,44.530159,47.8126984
cutting_G,1771301636770296102,29.5692291,-3.4,48.2095299,44.2666702,47.2190514
cutting_G,1771301636870298177,29.7538509,-3.4,48.4412689,44.7428589,47.533329
cutting_G,1771301636970297797,30.0153809,-3.2,48.6412697,44.6031799,47.7523804
cutting_G,1771301637070298722,30.1076908,-3.5,48.2571411,44.3238106,47.533329
cutting_G,1771301637170300001,30.0153809,-3.1,48.228569,44.4888916,47.8381004
cutting_G,1771301637270301226,30.0153809,-3.3,48.1714287,44.2857094,47.7111092
cutting_G,1771301637370301602,30.1076908,-3.5,48.2063484,44.5079384,47.4857101
cutting_G,1771301637470302848,30.1076908,-3.4,48.2222214,44.2984085,47.2793694
cutting_G,1771301637570304377,29.5692291,-3.0,48.1587296,44.2920609,47.3745995
cutting_G,1771301637670304401,29.8461494,-3.6,47.9523811,44.0920601,47.6761894
cutting_G,1771301637770305462,30.1076908,-3.1,48.0539703,44.4031792,47.3968315
cutting_G,1771301637870303789,30.4615402,-4.0,48.1174583,44.5714302,47.9619102
cutting_G,1771301637970307246,30.6461506,-3.3,48.4031792,44.6730194,47.4793701
cutting_G,1771301638070308376,30.90769,-3.4,48.1492119,44.3079414,47.3174591
cutting_G,1771301638170309177,30.6461506,-3.5,48.2539711,44.4825401,47.8031807
cutting_G,1771301638270309994,30.7384605,-3.5,48.079361,44.3619003,47.7682495
cutting_G,1771301638370312994,30.8153801,-3.5,48.2634888,44.4349213,47.2380905
cutting_G,1771301638470312460,30.7384605,-4.0,48.3428612,44.3714294,47.4761887
cutting_G,1771301638570313705,30.5538502,-3.2,48.4349213,44.5809517,47.4539719
cutting_G,1771301638670314523,30.4615402,-3.2,48.6127014,44.5365105,47.6603203
cutting_G,1771301638770314875,30.6461506,-3.7,48.2857094,44.3936501,47.5238113
