File_ID,RawTime,IMotor,Kafa_Act_Trq,X_Accelerometer,Y_Accelerometer,Z_Accelerometer
cutting_8,1771297794004044661,28.6769199,-2.1,48.3872986,44.5968208,47.4317513
cutting_8,1771297794104047133,28.4923096,-1.8,48.2539711,44.5714302,47.533329
cutting_8,1771297794204046109,28.4923096,-1.9,48.30159,44.4888916,47.4920692
cutting_8,1771297794304047052,28.4153805,-2.3,48.0730209,44.4507904,47.4539719
cutting_8,1771297794404048119,28.5846195,-2.7,48.3396797,44.5746002,47.5777817
cutting_8,1771297794504049728,28.4923096,-2.2,48.2571411,44.4031792,47.5587311
cutting_8,1771297794604049763,28.5846195,-1.9,48.473011,44.4634895,47.6254005
cutting_8,1771297794704050758,28.5846195,-2.3,48.2222214,44.5111084,47.3396797
cutting_8,1771297794804051730,28.4923096,-2.4,48.30159,44.5079384,47.4571419
cutting_8,1771297794904053371,28.5846195,-2.1,48.3365097,44.4603195,47.5777817
cutting_8,1771297795004053373,28.5846195,-2.1,48.2412682,44.3968315,47.4603195
cutting_8,1771297795104051589,28.6769199,-2.5,48.6476212,44.60952,47.4920692
cutting_8,1771297795204055420,28.5846195,-2.8,48.3492088,44.5619011,47.469841
cutting_8,1771297795304057375,28.6769199,-1.9,48.0730209,44.4317513,47.473011
cutting_8,1771297795404057800,28.5846195,-1.8,48.2031708,44.466671,47.2603188
cutting_8,1771297795504058331,28.4923096,-2.2,48.4412689,44.6063499,47.5841293
cutting_8,1771297795604059754,28.5846195,-2.3,48.165081,45.2698402,47.4571419
cutting_8,1771297795704060128,28.5846195,-2.3,48.5015907,44.2888908,47.6888885
cutting_8,1771297795804061622,28.6769199,-2.1,48.1301613,45.0063515,47.8095207
cutting_8,1771297795904062111,28.4923096,-2.1,48.2222214,44.5777817,47.5174599
cutting_8,1771297796004063483,28.6769199,-2.3,48.3555603,44.5936508,47.7142906
cutting_8,1771297796104064275,28.5846195,-2.0,48.1873016,44.4095192,47.4857101
cutting_8,1771297796204064593,28.6769199,-1.9,48.1206398,44.3396797,47.3492088
cutting_8,1771297796304065750,28.6769199,-2.0,47.5619011,44.774601,47.6190491
cutting_8,1771297796404068290,28.6769199,-2.5,48.2380905,44.4222183,47.3968315
cutting_8,1771297796504067613,28.6769199,-2.3,48.0666695,44.4190483,47.4253998
cutting_8,1771297796604068294,28.5846195,-1.9,48.0952415,44.3872986,47.5714302
cutting_8,1771297796704069802,28.6769199,-1.8,48.3523788,44.5523796,47.530159
cutting_8,1771297796804070238,28.4923096,-2.3,48.165081,43.9111099,47.3777809
cutting_8,1771297796904075772,28.5846195,-2.3,48.3142891,44.7809486,47.5904808
cutting_8,1771297797004072205,28.5846195,-2.1,48.2222214,44.473011,47.5428581
cutting_8,1771297797104074246,28.6769199,-2.1,48.1523819,44.4984093,47.6031799
cutting_8,1771297797204074192,28.5846195,-2.3,48.3492088,44.5746002,47.5936508
cutting_8,1771297797304075348,28.5846195,-2.3,48.1428604,44.3777809,47.3269806
cutting_8,1771297797404074680,28.6769199,-2.2,48.4285698,44.6254005,47.5872993
cutting_8,1771297797504077075,28.5846195,-2.1,48.3079414,44.5746002,47.7682495
cutting_8,1771297797604081983,28.6769199,-2.6,48.3587303,44.5714302,47.6127014
cutting_8,1771297797704079144,28.5846195,-2.9,48.2349205,44.5174599,47.6698418
cutting_8,1771297797804079862,28.6769199,-2.3,48.1365089,45.0984116,47.69524
cutting_8,1771297797904080907,28.6769199,-2.0,47.533329,44.774601,47.6825409
cutting_8,1771297798004081379,28.6769199,-2.1,47.920639,45.0349197,47.5619011
cutting_8,1771297798104082903,28.6769199,-2.5,48.7619095,44.4825401,47.5142899
cutting_8,1771297798204083387,28.6769199,-2.5,48.1142807,44.3587303,47.831749
cutting_8,1771297798304084371,28.6769199,-2.1,48.0857201,44.3523788,47.4317513
cutting_8,1771297798404086606,28.5846195,-2.4,48.2539711,44.5206299,47.69841
cutting_8,1771297798504086639,28.6769199,-2.4,48.1873016,44.4095192,47.3968315
cutting_8,1771297798604087812,28.6769199,-2.2,48.2793694,44.4952393,47.533329
cutting_8,1771297798704087724,28.6769199,-1.9,48.0952415,44.3587303,47.4634895
cutting_8,1771297798804088685,28.6769199,-2.0,48.1523819,44.4539719,47.6317482
cutting_8,1771297798904096478,28.5846195,-3.0,48.1714287,44.4380989,47.4285698
cutting_8,1771297799004090845,28.5846195,-2.6,48.2825394,44.5142899,47.5619011
cutting_8,1771297799104092528,28.4923096,-2.0,48.4063492,44.6317482,47.6158791
cutting_8,1771297799204092990,28.6769199,-1.8,48.3079414,44.4634895,47.6190491
cutting_8,1771297799304093985,28.5846195,-2.3,48.2000008,44.7555618,47.5555611
cutting_8,1771297799404097882,28.6769199,-2.5,48.0253983,44.4190483,47.6285706
cutting_8,1771297799504095820,28.5846195,-2.3,48.1111107,44.2412682,47.8476181
cutting_8,1771297799604097290,28.5846195,-2.3,48.0825386,44.7682495,47.165081
cutting_8,1771297799704098090,28.6769199,-2.8,47.7111092,44.6666718,47.774601
cutting_8,1771297799804095317,28.8615398,-2.8,48.2793694,44.165081,47.2634888
cutting_8,1771297799904099398,29.0307693,-2.2,48.8444405,44.60952,47.7206306
cutting_8,1771297800004100334,29.0307693,-1.9,48.4000015,44.4507904,47.5936508
cutting_8,1771297800104101999,29.1230793,-2.7,48.2126999,44.3841286,47.9174614
cutting_8,1771297800204101754,29.0307693,-3.0,48.3206406,44.5872993,48.1206398
cutting_8,1771297800304103627,29.2153893,-2.5,47.7555618,44.4190483,47.7873001
cutting_8,1771297800404103993,29.0307693,-2.1,47.7238083,44.0603218,47.4444504
cutting_8,1771297800504106821,29.3999996,-2.5,48.2634888,44.4222183,47.5619011
cutting_8,1771297800604106856,29.3999996,-2.8,48.0825386,44.2666702,47.8190498
cutting_8,1771297800704106828,29.3076897,-2.3,48.1841316,44.2539711,47.0285683
cutting_8,1771297800804107629,29.4769192,-2.2,48.1365089,44.3269806,47.5777817
cutting_8,1771297800904111949,29.5692291,-2.9,48.3460312,44.466671,47.473011
cutting_8,1771297801004109205,29.7538509,-3.0,48.1269798,44.3206406,47.5206299
cutting_8,1771297801104110495,29.5692291,-2.4,47.8857193,43.7428589,47.0349197
cutting_8,1771297801204111345,29.7538509,-2.2,48.0952415,44.473011,48.4507904
cutting_8,1771297801304112493,29.6615391,-2.8,48.1238098,44.5492096,48.0698395
cutting_8,1771297801404112987,29.7538509,-3.3,48.5460281,44.5460281,47.3396797
cutting_8,1771297801504113609,29.7538509,-2.8,48.1904793,44.2380905,47.5936508
cutting_8,1771297801604114674,29.6615391,-2.3,47.9365082,44.8126984,47.9809494
cutting_8,1771297801704115862,29.7538509,-2.6,48.0603218,44.6730194,47.6158791
cutting_8,1771297801804116753,29.7538509,-3.2,48.2444496,44.8158684,48.161911
cutting_8,1771297801904117845,29.9230804,-3.0,48.6825409,44.5142899,47.2158699
cutting_8,1771297802004119093,29.9230804,-2.5,48.2317505,44.0,47.9682503
cutting_8,1771297802104121304,30.1076908,-2.9,48.2126999,44.1142807,47.5111084
cutting_8,1771297802204120506,30.2000008,-3.4,48.0857201,44.1873016,47.2571411
cutting_8,1771297802304121536,30.2000008,-2.6,48.0285683,44.8730202,48.0381012
cutting_8,1771297802404122581,30.2000008,-2.5,48.1174583,44.6222191,47.3142891
cutting_8,1771297802504123613,30.1076908,-2.7,48.0539703,44.3968315,47.4539719
cutting_8,1771297802604124363,30.1076908,-3.1,48.30159,44.7460289,47.5047607
cutting_8,1771297802704125299,30.0153809,-3.0,48.3142891,44.6666718,47.6698418
cutting_8,1771297802804126217,30.2000008,-2.2,47.5460281,44.1809502,47.0920601
cutting_8,1771297802904127072,30.2000008,-2.6,48.0666695,45.0,48.2000008
cutting_8,1771297803004127996,30.3692303,-3.1,48.0507889,44.8698387,48.0888901
cutting_8,1771297803104128923,30.4615402,-3.0,48.4190483,44.1841316,47.9079399
cutting_8,1771297803204129733,30.4615402,-2.8,48.3238106,44.7079391,47.8952408
cutting_8,1771297803304130803,30.6461506,-2.6,48.2031708,44.1111107,47.3269806
cutting_8,1771297803404132069,30.6461506,-3.5,48.2380905,44.2317505,46.9682503
cutting_8,1771297803504132530,30.7384605,-3.0,48.2000008,44.6158791,47.6476212
cutting_8,1771297803604137746,30.5538502,-2.5,47.9936485,44.8857193,47.4634895
cutting_8,1771297803704135192,30.7384605,-2.6,48.1142807,44.168251,47.1015892
cutting_8,1771297803804135648,30.5538502,-3.2,48.4285698,45.2539711,48.1968307
cutting_8,1771297803904136579,30.5538502,-3.0,48.1428604,44.7333298,48.3428612
cutting_8,1771297804004136972,30.6461506,-2.7,48.1174583,44.2031708,47.161911
cutting_8,1771297804104139448,30.6461506,-3.3,47.8095207,44.6857109,47.1714287
cutting_8,1771297804204139174,30.7384605,-3.4,48.2158699,44.5523796,47.8539696
cutting_8,1771297804304139741,30.7384605,-3.0,47.920639,44.9333305,47.3301582
cutting_8,1771297804404140617,31.0,-2.7,48.0,44.6380997,47.2984085
cutting_8,1771297804504142348,31.0,-2.8,48.1809502,44.6761894,47.8158684
