File_ID,Percent_Complete,IMotor_std,Z_Accel_std,VibRes_Accel_std,Trq_std,IMotor_HF_Noise,Z_Accel_HF_Noise,Z_HighFreq_RMS,IMotor_HighFreq_RMS,Trq_HighFreq_RMS,IMotor_std_Ratio_to_Past,Z_Accel_std_Ratio_to_Past,VibRes_Accel_std_Ratio_to_Past,Trq_std_Ratio_to_Past,IMotor_HighFreq_RMS_Ratio_to_Past,Z_HighFreq_RMS_Ratio_to_Past,IMotor_std_Trend,Z_Accel_std_Trend,VibRes_Accel_std_Trend,Trq_std_Trend,IMotor_HighFreq_RMS_Trend,Z_HighFreq_RMS_Trend,chatter
cutting_E,0.0093632958801498,0.0612152544541933,0.2438350092412039,0.3545450446243106,0.4581363212940978,0.0674984318238103,0.4266327754628264,0.4029477437685636,0.0644592071026747,0.5312459150169743,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_E,0.0102996254681647,0.0612152544541933,0.2353571050643262,0.3502882237688798,0.4483302354291978,0.0757580744236214,0.3813467513895572,0.3611282642569895,0.0714253975394371,0.5426273532033236,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_E,0.0112359550561797,0.0612152544541933,0.2409336700002268,0.2843249880847078,0.4971027168615267,0.0701233826211778,0.3642104390940405,0.3440992148778863,0.0666632565477831,0.5811865258054232,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_E,0.0121722846441947,0.0476637732462158,0.2385781405093761,0.1798937656083872,0.4483302354291979,0.072154619973264,0.2746743176189548,0.2688714335592058,0.06879673078574,0.570574758954123,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_E,0.0131086142322097,0.0445853773120554,0.1660900872819542,0.1849506470862027,0.46475800154489,0.0652663094569091,0.264354643894781,0.249266147373511,0.0615336666666668,0.5811865258054232,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_E,0.0140449438202247,0.0583779435705188,0.1680844767763321,0.1968484031727412,0.4516635916254486,0.0615350375645048,0.2349308371079823,0.2247470732121002,0.0615352333931637,0.5849976258261415,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_E,0.0149812734082397,0.0583779435705188,0.1839917976393699,0.2092233513805184,0.4321779468896785,0.0856550377920857,0.2704334709891761,0.2580638811906167,0.0814049425380918,0.5120763831912406,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_E,0.0159176029962546,0.0623001010653444,0.1817284055454925,0.2089930869157113,0.3994440581052064,0.0856550377920857,0.2842642692012868,0.2681192414240684,0.0814049425380918,0.5120763831912406,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_E,0.0168539325842696,0.0645391453562049,0.1820671288381741,0.2129691950735737,0.3749073959733998,0.0856550377920858,0.2836359118306139,0.2674817309520367,0.0814049425380918,0.4725815626252609,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_E,0.0177902621722846,0.065268525088241,0.190605185086514,0.2415419476915198,0.3717824931626316,0.0856550377920857,0.2935557052004791,0.278830786457874,0.0814049425380918,0.447213595499958,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cutting_E,0.0187265917602996,0.0645394440974442,0.1838798352661438,0.2296876453575862,0.2936362072739366,0.0799386481359456,0.299679638801043,0.2831819984697314,0.0753668802344167,0.4000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,-0.0024069782327003,-0.0467034260404129,-0.1246729192103278,-0.0399230330645864,0.0086348864292827,-0.1225687665911616,0
cutting_E,0.0196629213483146,0.065268525088241,0.1786767547506369,0.2359259485640881,0.2953340857778225,0.0856550377920857,0.2504050756487862,0.2403628249788673,0.0814049425380918,0.3144660377352202,1.0,1.0,1.0,1.0,1.0,1.0,-0.0020016511692955,-0.0481325089833429,-0.1339807363030916,-0.0503196050972739,0.0061497457107669,-0.1137355707631867,0
cutting_E,0.0205992509363295,0.065268525088241,0.1489282393899095,0.202730478962043,0.2299758441421378,0.0856550377920857,0.2455605950862399,0.2315554288521163,0.0814049425380918,0.2748737083745107,1.0,1.0,1.0,1.0,1.0,1.0,-0.0015963241058907,-0.0577789229935286,-0.1194429718447288,-0.0916554385358391,0.0080502629008887,-0.1123436863208003,0
cutting_E,0.0215355805243445,0.065268525088241,0.1473525887808665,0.1991793422082536,0.2233582075700127,0.092304025052351,0.2235568785715098,0.2124694601398554,0.0870250693937738,0.2134374745810949,1.0,1.0,1.0,1.0,1.0,1.0,0.0035520213803061,-0.0665355312682438,-0.0800580008803475,-0.1092710940469885,0.0095529024977484,-0.0928538068105835,0
cutting_E,0.0224719101123595,0.0977843670916873,0.1305926356989881,0.1862172539884304,0.1776388345929896,0.1076898679454808,0.2235787867827124,0.2124457469151187,0.1020477307521233,0.2134374745810949,1.0,1.0,1.0,1.0,1.0,1.0,0.011520321726298,-0.0553680976421747,-0.058468868503051,-0.1383396356004557,0.0148648051717424,-0.0775367435079927,0
