File_ID,Percent_Complete,IMotor_std,Z_Accel_std,VibRes_Accel_std,Trq_std,IMotor_HF_Noise,Z_Accel_HF_Noise,Z_HighFreq_RMS,IMotor_HighFreq_RMS,Trq_HighFreq_RMS,IMotor_std_Ratio_to_Past,Z_Accel_std_Ratio_to_Past,VibRes_Accel_std_Ratio_to_Past,Trq_std_Ratio_to_Past,IMotor_HighFreq_RMS_Ratio_to_Past,Z_HighFreq_RMS_Ratio_to_Past,IMotor_std_Trend,Z_Accel_std_Trend,VibRes_Accel_std_Trend,Trq_std_Trend,IMotor_HighFreq_RMS_Trend,Z_HighFreq_RMS_Trend
cutting_C,0.007980845969672785,0.0815523054273491,0.1931410103318583,0.20219455851050389,0.26012817353502216,0.09576861380009856,0.2742027264363294,0.2585210496534677,0.09259217441601966,0.3756475889861547,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_C,0.008778930566640064,0.08346544653660955,0.19632430276205368,0.19755337331416614,0.26012817353502216,0.09198751526624524,0.27587253401531675,0.2601725967256046,0.0873310524940899,0.36514837167011055,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_C,0.009577015163607342,0.08346544653660955,0.20736577595562816,0.21285449714961818,0.23687784005919815,0.09820993598252889,0.2653731711451884,0.2536348283118049,0.09259321561752386,0.3511884584284245,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_C,0.010375099760574621,0.08346544653660955,0.1985279371920257,0.19082191435920184,0.3591656999213593,0.0982099359825289,0.2799979249510655,0.2649182639924226,0.09259321561752387,0.46067583203617496,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_C,0.0111731843575419,0.08346544653660955,0.2090741840387782,0.1907451928139268,0.3591656999213593,0.09198751526624523,0.3066847047947528,0.3005985642514766,0.0873310524940899,0.5405758246742284,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_C,0.011971268954509178,0.0771789907492358,0.15052520615099127,0.13801334897017503,0.3259175083088084,0.08668859276854089,0.2541237555137233,0.24159262840414433,0.08173078906420583,0.5280993172584951,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_C,0.012769353551476457,0.0771789907492358,0.13600480167230428,0.1485348830156072,0.33015148038438347,0.07957175739223385,0.24919739771429375,0.23525141293177468,0.07571871530669672,0.5228129047119373,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_C,0.013567438148443736,0.08941418197348984,0.13754889846260437,0.15150307317146702,0.36514837167011066,0.09638518847605625,0.24224929389321992,0.22984181792029082,0.09087282716981714,0.563717817509592,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_C,0.014365522745411013,0.07717899074923582,0.12922766736479083,0.15186438826306378,0.3645392830531284,0.07957175739223386,0.2403564532198392,0.22684097963900618,0.07571871530669672,0.5705747589541229,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_C,0.015163607342378291,0.09839000106187454,0.13002481991007628,0.14967548018628107,0.3590109871423003,0.1218692496219925,0.23900193495463967,0.22605019014384234,0.11535631029670163,0.5217491947499509,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_C,0.01596169193934557,0.11047780443308833,0.1363637938559604,0.1713648369760275,0.33266599866332397,0.12186924962199251,0.2485528268301331,0.23494871517270305,0.11535631029670163,0.521749194749951,1.0,1.0,1.0,1.0,1.0,1.0,0.0048157691589107154,-0.030042271595336983,-0.031901459688550404,0.06914893073087724,-0.0011319540496149416,-0.0111360499041607
cutting_C,0.01675977653631285,0.1075833531249331,0.1365610717424837,0.16999156238794838,0.35276684147527876,0.1347808845707639,0.2552989098093783,0.240823202877237,0.1270726366057446,0.5228129047119374,1.0,1.0,1.0,1.0,1.0,1.0,0.006270989263112869,-0.03761024091239165,-0.03233704818300334,0.07841279752490293,0.005472765322515408,-0.013896762825065911
cutting_C,0.017557861133280128,0.11245905015478182,0.1393369434067536,0.18883558184128832,0.356682242650545,0.1382479109391484,0.2417388899401759,0.22987724939624626,0.13074422743393585,0.48762462794425987,1.0,1.0,1.0,1.0,1.0,1.0,0.008851492773386677,-0.04862416397016983,-0.03906578345959738,0.09814334894264554,0.008410665783333576,-0.01436852242404471
cutting_C,0.018355945730247406,0.11245905015478182,0.1382496571661402,0.1885453779680946,0.2750757471437034,0.1424630914333256,0.20341802352569627,0.1976076771237971,0.1343154906950716,0.4068851871911235,1.0,1.0,1.0,1.0,1.0,1.0,0.01159142470943221,-0.054548052183303136,-0.03594871327398452,0.06303744427864372,0.012144292930676828,-0.022968440884773123
cutting_C,0.019154030327214685,0.11604974903759381,0.09585136116543913,0.20609181107792857,0.27080128015453203,0.1457481501406034,0.17495266152777814,0.16543497884419534,0.13779492693610182,0.40688518719112343,1.0,1.0,1.0,1.0,1.0,1.0,0.014754197904067609,-0.06791721996631436,-0.03239187284369524,0.038182856670219256,0.017979952783317918,-0.04474217534163161
