File_ID,Percent_Complete,IMotor_std,Z_Accel_std,VibRes_Accel_std,Trq_std,IMotor_HF_Noise,Z_Accel_HF_Noise,Z_HighFreq_RMS,IMotor_HighFreq_RMS,Trq_HighFreq_RMS,IMotor_std_Ratio_to_Past,Z_Accel_std_Ratio_to_Past,VibRes_Accel_std_Ratio_to_Past,Trq_std_Ratio_to_Past,IMotor_HighFreq_RMS_Ratio_to_Past,Z_HighFreq_RMS_Ratio_to_Past,IMotor_std_Trend,Z_Accel_std_Trend,VibRes_Accel_std_Trend,Trq_std_Trend,IMotor_HighFreq_RMS_Trend,Z_HighFreq_RMS_Trend
cutting_H,0.008992805755395683,0.038917265725947045,0.05621784352057578,0.11716139996703713,0.2923088169119167,0.05546563749097223,0.05555636739346592,0.05295074262797862,0.05328966078630965,0.4384315479321968,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_H,0.009892086330935251,0.029187949294460284,0.04927691753602356,0.11740123249659332,0.2923088169119167,0.046150199999999586,0.05541788504512279,0.05277099897954267,0.04351082583082015,0.4484541349024569,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_H,0.01079136690647482,0.029187949294460284,0.04543602058245004,0.11708088985059763,0.31287200080686167,0.046150199999999586,0.053735397485698985,0.050869331982202316,0.04351082583082015,0.4484541349024569,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_H,0.011690647482014389,0.029187949294460284,0.055149275534699775,0.09410807119873807,0.3197221015541813,0.046150199999999586,0.06683077490781818,0.06312800738379841,0.04351082583082015,0.412310562561766,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_H,0.012589928057553957,0.029187949294460284,0.051602593771533575,0.08814880163115513,0.2078995483935023,0.030766799999999726,0.0765690291386765,0.07246862087703154,0.030766799999999723,0.3126943839882286,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_H,0.013489208633093525,0.0,0.09284226722799352,0.10077694317493616,0.26267851073127396,0.0,0.1048523159621781,0.10472532875685747,0.0,0.339934634239519,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_H,0.014388489208633094,0.0,0.10433013934922536,0.14049635333718222,0.26267851073127396,0.0,0.17782144618909695,0.16783116001184145,0.0,0.35118845842842467,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_H,0.015287769784172662,0.029187949294460284,0.10416063050105064,0.14619657645380038,0.2505549396395485,0.030766799999999726,0.1995003741228348,0.18856772944029448,0.030766799999999723,0.3464101615137755,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_H,0.01618705035971223,0.029187949294460284,0.11598580671537559,0.14672412456344677,0.25407785333546007,0.046150199999999586,0.20065905723808045,0.19040282747378964,0.04351082583082015,0.33829638550307406,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cutting_H,0.0170863309352518,0.029187949294460284,0.11715301292042284,0.19885819718631023,0.25407785333546007,0.046150199999999586,0.21573483870367416,0.20344844335366735,0.04351082583082015,0.37118429085533483,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
